"Date","Price","Open","High","Low","Vol.","Change %"
"10/27/2020","3.2100","3.2360","3.2400","3.2206","0.05K","-0.26%"
"10/26/2020","3.2185","3.2256","3.2371","3.2193","0.02K","0.32%"
"10/23/2020","3.2081","3.2256","3.2300","3.2143","0.01K","0.27%"
"10/22/2020","3.1994","3.2349","3.2349","3.2161","0.02K","-0.16%"
"10/21/2020","3.2046","3.2282","3.2387","3.2175","0.02K","-0.19%"
"10/20/2020","3.2107","3.2292","3.2309","3.2168","0.02K","-0.03%"
"10/19/2020","3.2117","3.2120","3.2334","3.2085","0.02K","-0.10%"
"10/16/2020","3.2149","3.2294","3.2327","3.2048","0.02K","0.15%"
"10/15/2020","3.2100","3.2284","3.2310","3.2131","0.02K","-0.03%"
"10/14/2020","3.2109","3.2272","3.2314","3.2193","0.02K","0.04%"
"10/13/2020","3.2097","3.2125","3.2352","3.2118","0.02K","0.46%"
"10/12/2020","3.1950","3.2408","3.2408","3.2000","0.02K","-0.88%"
"10/09/2020","3.2233","3.2125","3.2419","3.2000","0.03K","0.89%"
"10/08/2020","3.1950","3.2384","3.2388","3.2050","0.02K","-0.80%"
"10/07/2020","3.2209","3.2325","3.2405","3.2043","0.03K","0.18%"
"10/06/2020","3.2150","3.2200","3.2400","3.2100","0.02K","0.42%"
"10/05/2020","3.2017","3.2083","3.2198","3.1975","0.02K","0.34%"
"10/02/2020","3.1908","3.2075","3.2325","3.1968","0.02K","0.03%"
"10/01/2020","3.1900","3.1775","3.2232","3.1775","0.02K","0.95%"
"09/30/2020","3.1600","3.3043","3.3043","3.1775","0.02K","-3.86%"
"09/29/2020","3.2868","3.3507","3.3511","3.2600","0.04K","-1.39%"
"09/28/2020","3.3332","3.3275","3.3536","3.3067","0.02K","0.90%"
"09/25/2020","3.3034","3.2816","3.3600","3.2816","0.03K","1.20%"
"09/24/2020","3.2641","3.2465","3.3150","3.2465","0.03K","0.95%"
"09/23/2020","3.2335","3.2493","3.2632","3.2420","0.02K","0.05%"
"09/22/2020","3.2318","3.2225","3.2580","3.2225","0.02K","0.84%"
"09/21/2020","3.2050","3.2175","3.2350","3.2143","0.02K","0.16%"
"09/18/2020","3.2000","3.2015","3.2249","3.1784","0.02K","0.50%"
"09/17/2020","3.1840","3.1673","3.2050","3.1673","0.02K","0.96%"
"09/16/2020","3.1537","3.1721","3.1816","3.1518","0.02K","0.78%"
"09/15/2020","3.1294","3.1350","3.1733","3.1300","0.02K","0.28%"
"09/14/2020","3.1208","3.1064","3.1463","3.1064","0.03K","0.89%"
